,subj,block,targTheta,n_probes,probeTheta_loc,targOrNoTarg,acc,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word0_cond,word1_cond,word2_cond,word3_cond,word4_cond,word5_cond,word6_cond,word7_cond,word8_cond,word9_cond,word10_cond,word11_cond,word12_cond,word13_cond,word14_cond,topTheta1,topTheta2,topTheta3,topTheta4,topTheta5,topTheta6,topTheta7,topTheta8,topTheta9,topTheta10,topTheta11,topTheta12,topTheta13,topTheta14,topTheta15,botTheta1,botTheta2,botTheta3,botTheta4,botTheta5,botTheta6,botTheta7,botTheta8,botTheta9,botTheta10,botTheta11,botTheta12,botTheta13,botTheta14,botTheta15,topTheta0,botTheta0,respProbe0,rtProbe0,probe0_acc,respProbe1,rtProbe1,probe1_acc,respProbe2,rtProbe2,probe2_acc,respProbe3,rtProbe3,probe3_acc,respProbe4,rtProbe4,probe4_acc,respProbe5,rtProbe5,probe5_acc,respProbe6,rtProbe6,probe6_acc,respProbe7,rtProbe7,probe7_acc,respProbe8,rtProbe8,probe8_acc,respProbe9,rtProbe9,probe9_acc,respProbe10,rtProbe10,probe10_acc,respProbe11,rtProbe11,probe11_acc,respProbe12,rtProbe12,probe12_acc,respProbe13,rtProbe13,probe13_acc,respProbe14,rtProbe14,probe14_acc
214,s999,7,40,12,top,,,dat,freeg,pilk,stick,simp,tig,plane,next,ghelms,youth,ounce,buy,,,,nonword,nonword,nonword,word,nonword,nonword,word,word,nonword,word,word,word,,,,150,80,80,70,70,120,130,160,170,10,40,,,,,120,10,10,160,110,70,150,50,170,160,170,,,,,10.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,s999,7,50,13,bot,,,drink,rhype,flike,sef,raise,past,need,shape,screeks,skreed,threnth,head,pipe,,,word,nonword,nonword,nonword,word,word,word,word,nonword,nonword,nonword,word,word,,,80,140,170,10,130,100,130,100,70,10,170,70,,,,30,60,170,140,150,30,150,80,140,110,20,50,,,,30.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,s999,7,130,10,bot,,,toast,pror,leep,gain,thought,crog,dear,height,breath,dread,,,,,,word,nonword,nonword,word,word,nonword,word,word,word,word,,,,,,160,70,110,170,110,110,80,150,150,,,,,,,10,20,60,110,120,30,100,170,130,,,,,,,60.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,s999,7,10,11,bot,,,bafe,koog,proge,lon,klib,crush,loan,roud,tube,hard,rice,,,,,nonword,nonword,nonword,nonword,nonword,word,word,nonword,word,word,word,,,,,120,120,40,50,80,170,120,30,50,130,,,,,,80,140,100,100,70,120,80,110,50,10,,,,,,70.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,s999,7,50,9,bot,,,poth,frot,tight,hill,pen,choose,frufe,ring,bowl,,,,,,,nonword,nonword,word,word,word,word,nonword,word,word,,,,,,,10,110,120,70,10,10,130,170,,,,,,,,170,110,130,70,150,130,160,50,,,,,,,,60.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,s999,7,20,10,bot,,,droom,crown,sheese,sithe,drain,tickle,paid,drott,shaze,debt,,,,,,nonword,word,nonword,nonword,word,word,word,nonword,nonword,word,,,,,,100,110,80,100,150,130,70,30,150,,,,,,,70,130,100,170,70,100,60,100,20,,,,,,,130.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,s999,7,60,4,top,,,tell,yoon,lafe,song,,,,,,,,,,,,word,nonword,nonword,word,,,,,,,,,,,,70,70,60,,,,,,,,,,,,,170,30,110,,,,,,,,,,,,,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,s999,7,110,1,top,,,lan,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,s999,7,10,15,bot,,,whind,liffs ,win,wegs,fij,fler,dirt,floor,snoined,guy,glep,cheds,swim,fraw,voot,nonword,nonword,word,nonword,nonword,nonword,word,word,nonword,word,nonword,nonword,word,nonword,nonword,170,40,100,20,140,130,100,60,20,80,150,50,50,20,,100,100,70,40,30,20,100,120,70,130,140,50,60,10,,20.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,s999,7,80,12,top,,,twourse,foin,thrurched,step,sheck,twalked,small,courn,theme,pret,thunds,knee,,,,nonword,nonword,nonword,word,nonword,nonword,word,nonword,word,nonword,nonword,word,,,,60,120,30,110,130,170,110,150,60,60,80,,,,,20,10,20,100,160,100,20,50,120,60,120,,,,,50.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,s999,7,140,4,top,,,shoot,shrafe,lack,watch,,,,,,,,,,,,word,nonword,word,word,,,,,,,,,,,,20,80,140,,,,,,,,,,,,,120,40,10,,,,,,,,,,,,,170.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,s999,7,30,4,bot,,,trene,birk,links,jaw,,,,,,,,,,,,nonword,nonword,word,word,,,,,,,,,,,,150,160,20,,,,,,,,,,,,,80,100,30,,,,,,,,,,,,,110.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,s999,8,130,1,top,,,kreesh,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,s999,8,100,1,bot,,,bad,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,s999,8,10,1,bot,,,trabe,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
