"","cost_mnm_interact","cost_mnm_noInteract","main_mnm","mon_mnm","one_mnm"
"472",-2.95286119532812,-4.86416507025382,-5.04492865751361,-6.58185687726623,-6.83387158741153
"473",-10.2418082334746,-7.93365638836604,-4.77560183205276,-4.77099732809237,-2.30290075425498
"474",-20.1663735921666,-20.5848580530653,-20.6679418106311,-22.562396842606,-21.6311433585326
"475",-10.849195081554,-12.8081114621347,-8.49382449056502,-14.0376017264903,-10.4866334896428
"476",-17.6813738697827,-15.5652817797216,-14.0507640271126,-15.7972451623158,-16.0465577570845
"477",-15.7245972328342,-17.5511387303032,-15.2490275311012,-17.1325373263277,-17.1279788341528
"478",-5.77544246730273,-6.5957647444312,-6.74425572919404,-8.5033854664654,-8.66672231449357
"479",-14.6066376735118,-13.9176421608896,-11.6337063304412,-11.3591564205624,-12.2685675118472
"480",-17.6330460634465,-18.6646996924927,-11.4710589916577,-13.4794468618847,-12.5888391288416
"481",-2.76338129368824,1.24725860477625,5.83740391443927,3.2973742836419,6.19201584947487
"482",-3.15110387874684,-3.43074074234409,-4.92862630205781,-4.84890048651223,-6.59853413320181
"483",-6.94018873010078,-2.33953029230691,-3.87363748095558,-3.79079708991269,-5.69222461179834
"484",-13.2077220010762,-15.0194964679301,-9.0077830707794,-10.4481848939134,-8.66814075420999
"485",-35.4228691368754,-36.5536465959243,-35.6768745375368,-16.0390112714117,-17.8482444536358
"486",-11.0504472271328,-12.8722208776552,-6.10546518706247,-9.46377843229138,-7.1860097090647
"487",-19.7224765630455,-13.4054605513311,-14.7867986658773,-15.2248265410958,-16.777289676449
"488",-15.6225656104347,-17.5527955322452,-13.2296226848551,-17.1917026887767,-15.2128130548516
"489",-22.462731784449,-15.1337682915654,-11.7665566057184,-5.49383690403586,-7.40824362832414
"490",-13.7733215604462,-15.5818760441462,-13.0410536720597,-17.0713045773168,-13.9189169833346
"491",-25.127412784229,-23.7839570483519,-18.6115334240353,-11.6424783776432,-11.9415591381368
"492",-17.7670424138167,-19.7578127938635,-11.0961542541938,-20.5246967372428,-11.9699916051414
"493",-17.3025423843391,-19.2415551376759,-18.2799392720983,-21.2276918794938,-18.146544154746
"494",-3.0604775736633,-4.51644078848913,-3.92043508141431,-4.783943093139,-5.6942033921943
"495",-15.7239710226153,-16.5217529382582,-15.2323263200832,-13.0195606205224,-13.8343601156521
"496",-23.3515399737042,-21.5354283099673,-22.7327209033931,-23.5331637850625,-24.1356084897795
"497",-12.6819171216333,-12.2523854318966,-11.1632640245767,-8.40811196284055,-9.43051726319627
"498",-36.8595907335171,-38.8595895449786,-22.292801376792,-24.0000310594765,-19.0720546311916
"499",-8.72399010072265,-10.5462676027049,-2.70905121646157,-6.36098163938867,-4.37020978301734
"500",-26.0946413594324,-28.0653763780949,-26.9482542860021,-29.9101577600466,-28.6775511920327
"501",-11.1998029176662,-13.166320141585,-11.1091513585527,-14.7666112722683,-13.0503029517331
"502",-33.5671084192693,-35.0902226067244,-32.8379697332002,-36.744667462837,-34.1739668119222
"503",-17.9135150157413,-13.7340375819324,-9.45637090572988,-5.83688886004585,-7.71614202768086
"504",-19.183576278257,-21.1467421813334,-19.4291845267572,-21.4968601353596,-20.8104416931786
"505",-39.601317256646,-41.1356763879958,-26.3505372341189,-32.071159784548,-27.0755016763488
"506",-12.9437988694803,-13.6159125603599,-7.60929122340668,-11.2861155305928,-7.86818046969581
"507",-8.33591515960167,-8.00987757800899,-7.66935571574094,-10.0097081988597,-9.05077837123825
"508",-22.0052308050341,-23.1867180213412,-20.6579861431525,-21.3652994794669,-21.5388152050715
"509",-33.2109311937294,-32.7526371779407,-27.6026355298441,-30.7351405989528,-29.2734343993196
"510",-15.3521206835255,-17.0950596096465,-14.0597816689143,-13.1160260470661,-12.9864246556968
