subj,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost
s15,MnM,1.1239868439131584,0.8817079448329448,0.675,0.443517922390666
s15,Monitor,0.8467816212255114,0.9043294205794206,0.9,0.16631269970301915
s16,Baseline,0.728221220335937,0.9620853080568721,0.9620853080568721,
s16,Maintain,0.9197367757826612,0.9613372044622043,0.9,0.1915155554467241
s16,MnM,1.2667754521468524,0.8344950882450884,0.675,0.5385542318109154
s16,Monitor,0.9052664943817939,0.9196357115107114,0.875,0.17704527404585665
s17,Baseline,0.9017981805053412,0.966824644549763,0.966824644549763,
s17,Maintain,1.0247404533668767,0.8889235408466177,0.8205128205128205,0.0972681132581813
s17,MnM,1.2719853704527015,0.792731573981574,0.45,0.3701871899473603
s17,Monitor,1.0087090659816054,0.8666724941724944,0.8,0.10691088547626419
s18,Baseline,,0.0,0.0,
s18,Maintain,0.35943918228149413,0.06818181818181818,0.125,
s18,MnM,,0.0,0.0,
s18,Monitor,0.3972264528274536,0.04461279461279461,0.05128205128205128,
s19,Baseline,0.7003491508199814,0.9174757281553398,0.8952380952380953,
s19,Maintain,0.7337117887758159,0.939431956931957,0.7,0.03688723688567991
s19,MnM,0.9084601018871111,0.687702709476903,0.15,0.21163554999697493
s19,Monitor,0.8283942332579596,0.8035549866799865,0.425,0.13156968136782338
s20,Baseline,0.7206296188075368,0.9715639810426541,0.9715639810426541,
s20,Maintain,0.8441335500437012,0.9120624514374516,0.725,0.12350393123616403
s20,MnM,1.019332794582864,0.8567091935841935,0.5,0.2987031757753271
s20,Monitor,0.8677981618541152,0.9220969308469307,0.775,0.1471685430465782
s21,Baseline,0.805657616853714,0.9569377990430622,0.9478672985781991,
s21,Maintain,0.9181960973266969,0.9815665584415585,0.825,0.11253848047298287
s21,MnM,1.1217835422474853,0.9065143883893881,0.55,0.31612592539377166
s21,Monitor,0.9725009257402073,0.9419191919191915,0.725,0.16684330888649318
s22,Baseline,0.8983406437204239,0.9038461538461539,0.44549763033175355,
s22,Maintain,1.0283518227966328,0.8082848775156468,0.675,0.13001117907620946
s22,MnM,1.209370721931283,0.7268156843156846,0.5128205128205128,0.28067816764125664
s22,Monitor,1.0346226127078542,0.8219536873383029,0.8,0.13628196898743025
s23,Baseline,0.630774220594993,0.985781990521327,0.985781990521327,
s23,Maintain,0.7535765150060335,0.9424421732114039,0.75,0.12280229441104035
s23,MnM,0.8974875880927298,0.8771323815073815,0.35,0.26671336749773666
s23,Monitor,0.7661578661633599,0.9738621794871793,0.95,0.1353836455683668
s24,Baseline,0.7368857519967216,0.9086538461538461,0.8957345971563981,
s24,Maintain,0.9951615387403879,0.8639208707958707,0.7,0.2582757867436665
s24,MnM,1.0149943391252505,0.7464770646020644,0.5,0.278108587128529
s24,Monitor,1.0150656768658475,0.8240684315684316,0.675,0.27817992486912574
s25,Baseline,0.6374553266693564,0.966824644549763,0.966824644549763,
s25,Maintain,0.8270919516661452,0.888156635031635,0.45,0.18963662499678885
s25,MnM,0.9939133311840143,0.8127186204109283,0.225,0.35645800451465787
s25,Monitor,0.8847505230172816,0.7902874209124211,0.4,0.24729519634792513
s26,Baseline,0.7117455069054949,0.8952380952380953,0.8909952606635071,
s26,Maintain,0.8635119558878296,0.9115181826720286,0.825,0.15176644898233457
s26,MnM,1.1032231001015649,0.8125292069042068,0.45,0.39147759319607023
s26,Monitor,0.9248873062120027,0.9074952824952822,0.75,0.21314179930650784
s27,Baseline,0.7632725651901547,0.957345971563981,0.957345971563981,
s27,Maintain,0.8817466678043265,0.8627111492496109,0.625,0.11847410261417189
s27,MnM,1.1060064278566475,0.8461331723831723,0.55,0.34273386266649214
s27,Monitor,0.8784098744131992,0.8584138084138082,0.625,0.11513730922304442
s28,Baseline,,0.0,0.0,
s28,Maintain,,0.0,0.0,
s28,MnM,,0.0,0.0,
s28,Monitor,,0.0,0.0,
s29,Baseline,0.7030669265889866,0.8862559241706162,0.8862559241706162,
s29,Maintain,0.8234006786956408,0.8093002830502831,0.525,0.12033375210665416
s29,MnM,0.9530632679907737,0.8116434260184262,0.4,0.24999634140178686
s29,Monitor,0.873287925530944,0.8611593961593963,0.725,0.17022099894195747
s30,Baseline,0.6201682904871498,0.9715639810426541,0.9715639810426541,
s30,Maintain,0.8626019665359698,0.9748511904761905,0.85,0.24243367604881985
s30,MnM,1.0598019808129373,0.9027077783327782,0.825,0.43963369032578764
s30,Monitor,0.7698378720697612,0.9529891636141634,0.875,0.1496695815826113
s31,Baseline,0.8937582307391696,0.9707317073170731,0.9428571428571428,
s31,Maintain,1.0621437914164376,0.9346317571317571,0.825,0.1726834110635161
s31,MnM,1.381618631057045,0.8545342157842161,0.6,0.49215825070412406
s31,Monitor,1.1412548223080796,0.9127198495948496,0.825,0.25179444195515793
s32,Baseline,0.9212107124427954,0.9186602870813397,0.909952606635071,
s32,Maintain,1.0867551896992964,0.9218548812298811,0.7,0.16554447725650107
s32,MnM,1.279364884013893,0.815056055056055,0.55,0.35815417157109786
s32,Monitor,1.0794776423834367,0.8432775557775558,0.6,0.1582669299406414
s33,Baseline,0.6486667294251292,0.9317073170731708,0.9047619047619048,
s33,Maintain,0.958834623081548,0.8875487760103145,0.7,0.31353741033104826
s33,MnM,0.6766355785485995,0.602854922854923,0.125,0.031338365798099746
s33,Monitor,0.7883919115985969,0.7270350482850485,0.35,0.1430946988480972
s34,Baseline,0.677944667097451,0.981042654028436,0.981042654028436,
s34,Maintain,0.856072662317828,0.9654650904650904,0.75,0.17812799522037687
s34,MnM,1.1688203723684842,0.8956630175380175,0.775,0.49087570527103325
s34,Monitor,0.8709566057815724,0.9389968364968364,0.775,0.1930119386841212
s35,Baseline,0.6335886367643723,0.9428571428571428,0.9383886255924171,
s35,Maintain,0.7830957515538236,0.942916389166389,0.875,0.1495071147894512
s35,MnM,0.8376413456212868,0.888700466200466,0.5,0.2040527088569144
s35,Monitor,0.7234909963830255,0.9306879231879233,0.9,0.08990235961865325
s36,Baseline,0.7024506448519112,0.957345971563981,0.957345971563981,
s36,Maintain,0.8159899022754452,0.929038947163947,0.8,0.11353925742353417
s36,MnM,0.9775734237564827,0.8349265318015318,0.425,0.2751227789045714
s36,Monitor,0.8581712527594776,0.9146477827727827,0.775,0.15572060790756645
s37,Baseline,0.7279803092663105,0.9512195121951219,0.9241706161137441,
s37,Maintain,0.8722524110847507,0.9174845987345985,0.625,0.14427210181844008
s37,MnM,0.919686274545716,0.6991065914142839,0.4,0.1917059652794055
s37,Monitor,0.8680820225570207,0.8657574370074371,0.725,0.14010171329071028
s38,Baseline,0.558805829534928,0.909952606635071,0.909952606635071,
s38,Maintain,0.6136972545308977,0.8310081585081587,0.3,0.054891424995969794
s38,MnM,0.9670556870161928,0.7978851703851704,0.45,0.4082498574812648
s38,Monitor,0.7330970017956846,0.8916395410145412,0.9,0.17429117226075663
s39,Baseline,0.6337251962791562,0.9095238095238095,0.9052132701421801,
s39,Maintain,0.7135778834123183,0.7977394681342052,0.4,0.07985268713316217
s39,MnM,0.8135681498523861,0.7966502941502943,0.075,0.17984295357322977
s39,Monitor,0.7154254215989642,0.8032933039183039,0.35,0.08170022531980792
s40,Baseline,0.7393416640827957,0.9809523809523809,0.976303317535545,
s40,Maintain,0.8003266748177307,0.9555842305842307,0.85,0.06098501073493501
s40,MnM,1.1449319200588888,0.9065380452880453,0.675,0.4055902559760932
s40,Monitor,0.8860617749820884,0.9645876345876345,0.875,0.1467201108992927
s41,Baseline,0.6950779554202472,0.9516908212560387,0.933649289099526,
s41,Maintain,0.8347539103828069,0.9369656038406038,0.9,0.13967595496255983
s41,MnM,0.835545957621829,0.8325028443778445,0.15,0.1404680022015819
s41,Monitor,0.8279053899613056,0.8674791181041182,0.725,0.13282743454105836
s42,Baseline,0.6924503451412164,0.9809523809523809,0.976303317535545,
s42,Maintain,0.8085412871459613,0.9053881535131536,0.625,0.11609094200474512
s42,MnM,1.0794347445879366,0.8968305999555998,0.55,0.38698439944672025
s42,Monitor,0.9307357390944437,0.9589366883116884,0.875,0.2382853939532273
